szerzõ,cím,,,leltári_szám,vonalkód,,,ISBN_szám,beszerzés_dátuma,kiadás_éve,szállító
Ujvári István,Matekversenyre készülök,,,3-000975,2876962,,,9637546170,    .  .  ,1992,???
Balázs Lórántné,Hogyan oldjunk meg kémiai feladatokat?,,,3-000977,2876771,,,9631777812,    .  .  ,1984,???
Kapocsy György,Nemzeti parkjaink,,,3-000978,2876498,,,9638185287,    .  .  ,1993,???
Závodszky Géza,Történelem az általános iskola 7. osztálya számára,,,3-000979,2882376,,,9638153229,    .  .  ,1993,???
Hangay Zoltán,19 történelmi arckép a 19. század magyar történelmébõl,,,3-000980,2884509,,,,    .  .  ,1991,???
Magassy László,Leíró magyar nyelvtan a nyolcosztályos gimnáziumok I-IV. osztálya és az ...,,,3-000981,2886718,,,,    .  .  ,1993,???
Magassy László,"Gyakorlatok, feladatok!: magyar nyelvtanból a nyolcosztályos gimnáziumok i. osztálya és az általános iskolák 5. osztálya számára",,,3-000982,2864976,,,,    .  .  ,1993,???
Láng István,Környezetvédelmi lexikon II. : L-Z,,,3-000984/01,2883090,,,9630565641,    .  .  ,1993,???
Láng István,Környezetvédelmi lexikon II. : L-Z,,,3-000984/02,2883144,,,9630565641,    .  .  ,1993,???
"Davies, Helen",Kezdõk francia nyelvkönyve,,,3-000985,2879727,,,9633460670,    .  .  ,1991,???
"Davies, Helen",Kezdõk angol nyelvkönyve,,,3-000986,2879673,,,9633460646,    .  .  ,1994,???
"Davies, Helen",Kezdõk olasz nyelvkönyve,,,3-000987,2879772,,,9633460689,    .  .  ,1994,???
Lajtha László,Játékország,,,3-000989,2865034,,,9634003303,    .  .  ,1990,???
Németh Tibor,"Itt élned, halnod kell",,,3-000991,2884844,,,9637478949,    .  .  ,1993,???
,Katolikus hit és erkölcs,,,3-000992,2874340,,,9630016699,    .  .  ,1993,???
Both Elõd,A Föld és a csillagok,,,3-000994,2876863,,,9637740694,    .  .  ,1993,???
"Caselli, Giovanni",A reneszánsz és az újvilág,,,3-000995,2878683,,,9631334732,    .  .  ,1991,???
Sipos Lajos,Irodalomtanítás I.,,,3-000996/01,2875651,,,9638334045,    .  .  ,1994,???
Sipos Lajos,Irodalomtanítás I.,,,3-000996/02,2875705,,,9638334045,    .  .  ,1994,???
Élesztõs László,Magyar nagylexikon : A-Anc,,,3-000997,2883304,,,9630566125,    .  .  ,1993,???
Arany János,Toldi ; Toldi estéje,,,3-001000,2855837,,,963794849X,    .  .  ,1994,???
Molnár Ferenc,A Pál utcai fiúk,,,3-001001,2862538,,,9637948503,    .  .  ,1994,???
"Golding, William",A legyek ura,,,3-001002,2856940,,,9637948511,    .  .  ,1994,???
Mikszáth Kálmán,Szent Péter esernyõje,,,3-001003,2861784,,,963794852X,    .  .  ,1994,???
Szalay Béla,"Otthonunk, Dör",,,3-001004,2869483,,,9637586318,    .  .  ,1994,???
Kuczka Péter,Pannon enciklopédia : A magyarság története,,,3-001005,2882833,,,9638297271,    .  .  ,1994,???
,"Szentistváni népdalok : Népszokások, gyermekjátékok",,,3-001009,2875354,,,9630336707,    .  .  ,É.N.,???
Gecsényi Lajos,Dokumentumok a zsidóság üldöztetésének történetéhez : Iratok a Gyõr-Sopron megyei levéltárból,,,3-001010,2874159,,,,    .  .  ,1994,???
Móricz Zsigmond,Légy jó mindhalálig,,,3-001012,2864594,,,9638556617,    .  .  ,2002,???
Esztergályos Jenõ,A magyarok bejövetele,,,3-001013,2884752,,,9634641512,    .  .  ,1996,???
Nagy József,Nevelési kézikönyv személységfejlesztõ pedagógiai programok készítéséhez,,,3-001014,2875293,,,9636970580,    .  .  ,1996,???
Kovátsné Németh Mária,Település - iskola - Társadalom : tanulmányok Gyõr - Moson - Sopron megye iskolatörténetébõl 1777-1996,,,3-001015,2875545,,,9637123032,    .  .  ,1996,???
Berger György,Logikai fejtörõk az IQ fejlesztésére,,,3-001016,2874036,,,9639064327,    .  .  ,1997,???
Tuba László,Gyõr-Moson-Sopron megye kézikönyve,,,3-001017,2883540,,,9639089079,    .  .  ,1998,???
Bánhegyi Ferenc,Ezeréves Magyarország : Képek az ezeréves Magyarország történetébõl,,,3-001018,2884301,,,9.79E+12,    .  .  ,2000,???
Nógrádi Gábor,Mit jelent a piros kerek?,,,3-001019,2872346,,,9638557168,    .  .  ,1997,???
Pájer Imre,Csornai Múzeum : kiállításvezetõ,,,3-001020,2878638,,,9630399555,    .  .  ,2000,???
Tóth László,Kognitív szintek a matematika tanításában,,,3-001021,2875699,,,,    .  .  ,2000,???
Tóth László,Kognitív szintek a matematika tanításában,,,3-001022,2875637,,,,    .  .  ,2000,???
Szakácsné Foki Katalin,"A zene és a tánc oktatása : reneszánsz, barokk",,,3-001023,2875644,,,,    .  .  ,2000,???
Szakácsné Foki Katalin,"A zene és a tánc oktatása : reneszánsz, barokk",,,3-001024,2875736,,,,2002.10.18,2000,???
Baranyai Zoltánné,"Segédanyag a rajz és vizuális kultúra tanításához : Óravázlatok, feladatlapok",,,3-001025,2875682,,,,    .  .  ,2000,???
Baranyai Zoltánné,"Segédanyag a rajz és vizuális kultúra tanításához : Óravázlatok, feladatlapok",,,3-001026,2875743,,,,    .  .  ,2000,???
Baksa Péter,"""Szülõföldem szép határa!"" : Gyõr-Moson-Sopron megyei irodalmi olvasókönyv",,,3-001027,2866918,,,9637586628,    .  .  ,2000,???
Bánki Gábor,Népzenei alapismeretek : 10-16 éves diákok számára,,,3-001029,2878959,,,9638594799,    .  .  ,2000,???
Bánki Gábor,"A gregorián zene, a többszólamúság kialakulása és a reneszánsz zenéje: 10-12 éves diákok számára",,,3-001030,2878904,,,9638605804,    .  .  ,2000,???
Bánki Gábor,A barokk és a bécsi klasszikus zene : 13-14 éves diákok számára,,,3-001031,2878850,,,9638605812,    .  .  ,2000,???
Bánki Gábor,A romantika zenéje : 13-14 éves diákok számára,,,3-001032,2879000,,,9638605839,    .  .  ,2000,???
Kacsóh Pongrác,A zene fejlõdéstörténete,,,3-001033,2878553,,,9638594756,    .  .  ,2000,???
"Burton, John A.",Állatkerti emlõsök,,,3-001034,2886503,,,9632824296,    .  .  ,1991,???
"Grey-Wilson, Christopher",Kerti  virágok,,,3-001035,2885674,,,9632823036,    .  .  ,1990,???
,Madarak,,,3-001036,2885872,,,9631167100,    .  .  ,1991,???
Bába Károly,"Medúzák, zsákállatok",,,3-001037,2885827,,,9631167119,    .  .  ,1991,???
Kósa Géza,"Magvak, termések",,,3-001038,2885919,,,9631167178,    .  .  ,1991,???
Bálint Sándor,Versenyautók,,,3-001039,2885773,,,9631167860,    .  .  ,1991,???
Hankó Ildikó,Emberek,,,3-001040,2886039,,,9631167186,    .  .  ,1980,???
Farkas Henrik,Egyszervolt állatok,,,3-001041,2886121,,,9631165868,    .  .  ,1990,???
Rátz Ottó,Útiszótár : Német-magyar = Útiszótár : Magyar-német,,,3-001042,2883472,,,9632052625,    .  .  ,1991,???
Halász Elõd,Magyar-német szótár,,,3-001043/01,2883267,,,9630560526,    .  .  ,1991,???
Halász Elõd,Magyar-német szótár,,,3-001043/02,2883311,,,9630560526,    .  .  ,1991,???
Esztergályos Jenõ,"Környezetismeret, környezetvédelem : Földrajz ; Biológia",,,3-001046,2876375,,,9638023430,    .  .  ,1994,???
Mester Miklósné,"Varázslatos világ : Képes környezetismereti, környezetvédelmi olvasókönyv 2-4. osztályosok számára",,,3-001047,2876221,,,9634642268,    .  .  ,1997,???
"Varley, Carol",Földrajzi kisenciklopédia,,,3-001048,2881225,,,9635301170,    .  .  ,1995,???
Molnár Ferenc,A Pál utcai fiúk,,,3-001049,2862750,,,9631152952,    .  .  ,1987,???
Mikszáth Kálmán,Beszterce ostroma : egy különc ember története,,,3-001051,2861975,,,9637438092,    .  .  ,1991,???
Petrovácz István,Szombatra péntek,,,3-001052,2863016,,,9631120015,    .  .  ,1980,???
Grétsy László,Anyanyelvünk játékai,,,3-001053,2880105,,,9632800311,    .  .  ,1974,???
Lukácsy András,"Elmés játékok, játékos elmék",,,3-001054,2879321,,,9632230086,    .  .  ,1974,???
Fekete István,Téli berek,,,3-001055,2853871,,,9630285746,    .  .  ,1993,???
Lengyel Dénes,Magyar mondák a török világból és a kuruc korból,,,3-001056,2860466,,,9631168409,    .  .  ,1992,???
"Féval, Paul",A Fekete Brigád,,,3-001058,2856810,,,9632343026,    .  .  ,1990,???
Híves Márta,Nem árulok zsákbamacskát : Szólások és eredetük,,,3-001059,2873572,,,9631165051,    .  .  ,1990,???
Lovas Béla,Kísérletezz mikroszkóppal!,,,3-001060,2876832,,,963115355X,    .  .  ,1987,???
"Saint-Exupéry, Antoine de",A kis herceg,,,3-001061,2853116,,,9631166988,    .  .  ,1991,???
Móra Ferenc,Kincskeresõ kisködmön,,,3-001062,2862682,,,9631167799,    .  .  ,1991,???
Móricz Zsigmond,Légy jó mindhalálig,,,3-001063,2864259,,,963764301X,    .  .  ,1991,???
Benedek Elek,Világszép nádszálkisasszony,,,3-001065,2873114,,,9637865179,    .  .  ,É.N.,???
Benedek Elek,Gyöngyvirág Palkó és más mesék,,,3-001066,2872520,,,9638340363,    .  .  ,1993,???
Julier Ferenc,Magyar hadvezérek,,,3-001067,2858661,,,9636025738,    .  .  ,1992,???
"Salten, Felix",Bambi gyermekei,,,3-001068,2870892,,,9631170322,    .  .  ,1992,???
Tótfalusi István,Irodalmi alakok lexikona,,,3-001069,2880167,,,9631170330,    .  .  ,1992,???
"Crawford, Francis Marion",A bizánci rabszolgalány,,,3-001070,2847825,,,9632343115,    .  .  ,1990,???
"Sienkiewicz, Henryk",Sivatagon és vadonban,,,3-001071,2865416,,,9637875409,    .  .  ,É.N.,???
Szentiványi Jenõ,A kõbaltás ember,,,3-001072,2866833,,,9631167933,    .  .  ,1991,???
Jókai Mór,Az arany ember,,,3-001073,2858395,,,9631543773,    .  .  ,1991,???
"Stevenson, Robert Louis",A kincses sziget,,,3-001074,2866178,,,9631133052,    .  .  ,1983,???
"Baresch, Martin",Kalandos történetek,,,3-001075,2870823,,,963839952X,    .  .  ,1994,???
"Beggio, Valentina","366..., sõt több kérdés és felelet",,,3-001076,2871103,,,9631171280,    .  .  ,1993,???
"Bertino, Andrée",366  történet a világ csodáiról,,,3-001077,2873633,,,963116862X,    .  .  ,1992,???
"Le Du, Valérie",A tenger,,,3-001080,2870854,,,9632280644,    .  .  ,1996,???
Walter Gellért,Természettudományi kisenciklopédia,,,3-001081,2876078,,,9635301367,    .  .  ,1995,???
Csorba László,Az Országház,,,3-001082,2878423,,,9633366615,    .  .  ,2001,???
"Dolder, Willi",Ezerarcú állatvilág,,,3-001084,2870953,,,9639073148,    .  .  ,1997,???
"Harpur, James",Legendák földjén,,,3-001085,2881546,,,9638224908,    .  .  ,1994,???
Hofer Tamás,A magyar népmûvészet,,,3-001086,2883342,,,9631339386,    .  .  ,1994,???
,Bibliai történetek,,,3-001088,2873145,,,9639305537,    .  .  ,1998,???
"Farrington, Karen",Vallások,,,3-001089,2873909,,,9639202371,    .  .  ,É.N.,???
Sarkadi Péter,Az elsõ civilizációk : A kezdetektõl i. e. 970-ig,,,3-001090,2881744,,,9639031615,    .  .  ,1992,???
"Ions, Veronica",Mitológia,,,3-001091,2873855,,,9638380993,    .  .  ,1997,???
"Robertson, Feleur",Az emberiség története,,,3-001092,2881690,,,9639031518,    .  .  ,1998,???
"Felix, Jiøí",Ázsia,,,3-001093,2886350,,,9639031445,    .  .  ,1998,???
"Felix, Jiøí",Ausztrália,,,3-001094,2886305,,,9639031453,    .  .  ,1998,???
"Felix, Jiøí",Amerika,,,3-001095,2886794,,,9639031437,    .  .  ,1998,???
"Felix, Jiøí",Afrika,,,3-001096,2886206,,,9639031402,    .  .  ,1997,???
"Felix, Jiøí",Európa,,,3-001097,2886251,,,9639031392,    .  .  ,1998,???
Both Elõd,A Föld nevû bolygó,,,3-001099,2881072,,,9638380322,    .  .  ,1993,???
"Langley, Andrew",Oxford Enciklopédia gyerekeknek : [az elsõ tudománytárminden gyerek számára],,,3-001102,2871929,,,9639202444,    .  .  ,1999,???
Halász Elõd,Magyar-német nagyszótár,,,3-001103,2883168,,,9630575132,    .  .  ,1998,???
Benedek Elek,Magyarok története : Történelem gyermekeknek,,,3-001104,2883854,,,9638216026,    .  .  ,1994,???
"Nagy Gábor, O.",Magyar szinonimaszótár,,,3-001105,2882932,,,9630568438,    .  .  ,2006,???
Boldizsár Mária,Olvasmánynapló Fekete István Tüskevár címû regényéhez,,,3-001106,2864921,,,9631917320,    .  .  ,2001,???
Chászárné Simon Alice,Olvasmánynapló Erich Kästner A két Lotti címû regényéhez,,,3-001107,2864877,,,963190699X,    .  .  ,2000,???
Bozsik Rozália,Olvasmánynapló Fekete István: Vuk címû regényéhez,,,3-001111,2864822,,,9631910120,    .  .  ,2000,???
Juhász József,Magyar értelmezõ kéziszótár,,,3-001113/01,2883120,,,9630562138,    .  .  ,2001,???
Juhász József,Magyar Értelmezõ Kéziszótár L-Zs,,,3-001113/02,2883373,,,9630562146,    .  .  ,2001,???
"Kästner, Erich",A két Lotti,,,3-001115,2858975,,,9631175839,    .  .  ,2001,???
Péter László,Új magyar irodalmi lexikon,,,3-001116/01,2882451,,,9630577445,    .  .  ,2000,???
Péter László,Új magyar irodalmi lexikon,,,3-001116/02,2882703,,,9630577445,    .  .  ,2000,???
Péter László,Új magyar irodalmi lexikon,,,3-001116/03,2882659,,,9630577445,    .  .  ,2000,???
Lengyel Dénes,Magyar mondák a török világból és a kuruc korból,,,3-001117,2860411,,,9631175901,    .  .  ,2001,???
Bakos Ferenc,Idegen szavak és kifejezések kéziszótára,,,3-001118,2883274,,,9630567733,    .  .  ,1994,???
Kiss Gábor,"Magyar szókincstár : rokon értelmû szavak, szólások és ellentétek szótára",,,3-001119,2883076,,,9638562226,    .  .  ,2000,???
Balassa M. Iván,Magyarország múzeumai : Múzeumlátogatók kézikönyve,,,3-001120,2874319,,,9639192937,    .  .  ,2001,???
Móricz Zsigmond,Légy jó mindhalálig,,,3-001121,2864457,,,963076556X,    .  .  ,1999,???
"Aszódi Éva, T.",A magyar szabadságharc olvasókönyve / 7-12 éves gyerekeknek/,,,3-001122,2871059,,,9638380837,    .  .  ,1998,???
,Mátyás és a török kor olvasókönyve,,,3-001123,2871004,,,9639202282,    .  .  ,2001,???
Móra Ferenc,Móra 2. olvasókönyv,,,3-001124,2871721,,,9638380764,    .  .  ,2001,???
Simon Tibor,Növényismeret : A hazai növényvilág kis határozója,,,3-001125,2876795,,,9631913872,    .  .  ,2001,???
Móra Ferenc,Kincskeresõ kisködmön,,,3-001126,2862637,,,963920210X,    .  .  ,É.N.,???
"Kehnscherper, Günter",A világ vallásai,,,3-001127,2873794,,,9639182141,    .  .  ,1999,???
Benedek Elek,Szélike királykisasszony,,,3-001128,2872353,,,9638276169,    .  .  ,É.N.,???
,Cartographia világatlasz,,,3-001130,2882543,,,9633525284,    .  .  ,2002,???
Halász Elõd,Német-magyar nagyszótár = Deutsch-ungarisches Grosswörterbuch : Új német helyesírással,,,3-001132,2883212,,,9630575124,    .  .  ,2000,???
Mérei Ferenc,Ablak-zsiráf : képes gyermeklexikon,,,3-001133,2883816,,,9631176053,    .  .  ,2001,???
Glatz Ferenc,A magyarok krónikája,,,3-001134,2882635,,,9635471890,    .  .  ,2000,???
Szabó György,Mitológiai kislexikon,,,3-001135,2873954,,,9637685391,    .  .  ,1993,???
Annási Ferenc,Cernet-projekt és az európai középiskola : Közép-kelet-európai régiók oktatási együttmûködése,,,3-001136,2874623,,,9630071800,    .  .  ,2001,???
Galgóczi Károlyné,Elvállaltam a sorsomat : Galgóczi emlékalbum,,,3-001137,2856537,,,,    .  .  ,1999,???
Baranyai Anita,Néprajz,,,3-001138,2875453,,,963006104X,    .  .  ,2000,???
Keresztényi József,Kis olimpiatörténet,,,3-001139,2879017,,,963282024X,    .  .  ,1988,???
Hermann Róbert,1848-1849: A szabadságharc hadtörténete,,,3-001141,2874869,,,9639376213,    .  .  ,2001,???
Ripp Zoltán,1956: Forradalom és szabadságharc Magyarországon,,,3-001142,2884226,,,9639376264,    .  .  ,2002,???
Szita Szabolcs,"Együttélés, üldöztetés, holokauszt",,,3-001143,2874876,,,9639376078,    .  .  ,2001,???
Gyarmati Tamás,Beszéljünk errõl ... : Szexuális ismeretterjesztõ,,,3-001144,2877143,,,9638522909,    .  .  ,2001,???
Tarrósi Szilvia,Kisiskolások olvasókönyve: Állatmesék,,,3-001145,2872025,,,9638332913,    .  .  ,2001,???
Tarrósi Szilvia,Kisiskolások olvasókönyve: Tündérmesék,,,3-001146,2871035,,,9638332905,    .  .  ,2002,???
Tarrósi Szilvia,Kisiskolások olvasókönyve: Népmesék,,,3-001147,2871080,,,9638332921,    .  .  ,2002,???
Szabó Péter,A magyar állam születése,,,3-001148,2884721,,,9631901629,    .  .  ,1999,???
Kertész István,Antik harcmezõkön,,,3-001149,2872414,,,963919123X,    .  .  ,2000,???
Berkesi Sándor,Virág és pillangó : Kóruskönyv huszadik századi magyar mûvekbõl : Egynemûkarok,,,3-001150,2879451,,,,    .  .  ,2000,???
Berkesi Sándor,Zengõ csudaerdõ : Kóruskönyv huszadik századi magyar mûvekbõl : Vegyeskarok,,,3-001151,2879505,,,,    .  .  ,2000,???
Tibor Ágnes,Kamasznak lenni...: Önismereti és önmenedzselési kézikönyv,,,3-001152,2873985,,,9631625397,    .  .  ,2000,???
Kugler Nóra,Helyesírási diákszótár,,,3-001153,2880150,,,963919191X,    .  .  ,2001,???
Kertész István,"Ókori hõsök, ókori csaták",,,3-001154,2882154,,,9639191191,    .  .  ,2002,???
Fürstné Kólyi Erzsébet,Hogyan viselkedjem?: Hasznos tanácsok tizenéveseknek és szüleiknek,,,3-001155,2874234,,,9638332123,    .  .  ,1990,???
Hegedûs Sándor,Cigány kronológia,,,3-001156,2874524,,,9638332794,    .  .  ,2000,???
Vida P. István,Egyetemes és magyar történelmi kronológia,,,3-001157,2883748,,,9631870170,    .  .  ,1996,???
Kósa László,"""Ki népei vagytok?"": Magyar néprajz",,,3-001158,2876108,,,9639014060,    .  .  ,1998,???
"Nagy Gábor, O.",Mi fán terem? : magyar szólásmondások eredete,,,3-001159,2864136,,,9636451028,    .  .  ,1999,???
Orbán Ottó,Kati-patika ; Eszterlánc,,,3-001160,2873060,,,9631421821,    .  .  ,2000,???
Závodszky Géza,"Hazáért, szabadságért : Magyar történetek",,,3-001161,2884363,,,9639191175,    .  .  ,1999,???
Kertész Imre,Sorstalanság,,,3-001163,2858968,,,9631421643,    .  .  ,2002,???
,Atlasz Verne Gyula hõsei nyomában,,,3-001164,2881195,,,9633525543,    .  .  ,1999,???
Kósa László,Apáról fiúra : Néprajzi kalauz,,,3-001165,2876054,,,9633462363,    .  .  ,1998,???
Horváth Péter Pál,Babonák és népszokások,,,3-001166,2875958,,,963902273X,    .  .  ,1998,???
"Moras, Ingrid",Apró ajándékok gyöngyfûzéssel,,,3-001169,2878027,,,9639388572,    .  .  ,2002,???
"Seibel, Hiltrud","Bûbájos figurák, díszek gyurmából",,,3-001170,2878270,,,9639388270,    .  .  ,2000,???
"Huber, Elke",Csillogó képek üvegfestéssel,,,3-001171,2878171,,,9639388785,    .  .  ,2003,???
"Moras, Ingrid",Gyöngybõl készült kabalák és talizmánok,,,3-001172,2878126,,,9639388262,    .  .  ,2002,???
"Göhr, Stephanie",Húsvéti ablakképek festése üvegfilccel és ujjfestékkel,,,3-001173,2877877,,,9639388548,    .  .  ,1999,???
"Eigl, Maria",Jelmezek és sminkek gyerekzsúrra és farsangra,,,3-001174,2878324,,,9636840563,    .  .  ,2003,???
,Usborne képes német szótár gyerekeknek,,,3-001175,2885858,,,9639202681,    .  .  ,1999,???
"Walton, Stewart","Otthonunk díszítése : Gyorsan, könnyen megvalósítható, praktikus ötletek ...",,,3-001177,2886664,,,9639031844,    .  .  ,1997,???
"Küssner-Neubert, Andrea",Sok szeretettel! : Születésnapi üdvözlõkártyák,,,3-001178,2878072,,,9639388297,    .  .  ,2000,???
"Küssner-Neubert, Andrea",Tarkabarka gyerekvilág : Ablakképek színes papírból,,,3-001179,2877921,,,9639388254,    .  .  ,2002,???
"Hettinger, Gudrun",Textilfestés : Kedves motívumik kicsiknek,,,3-001180,2877976,,,9636840903,    .  .  ,2002,???
"Hartel, Traudel",Üdvözlõkártyák szárított virágokkal,,,3-001181,2878225,,,9636840288,    .  .  ,2002,???
"Cornele, Tim",A római világ atlasza,,,3-001182,2884561,,,9632086260,    .  .  ,1999,???
Bánhegyi Ferenc,Ezeréves Magyarország : Képek az ezeréves Magyarország történetébõl,,,3-001183,2882291,,,9.79E+12,    .  .  ,2000,???
"Parker, Steve",Az emberi test : Képes enciklopédia,,,3-001184,2877655,,,9635306679,    .  .  ,2002,???
"Redfern, Martin","Bolygónk, a Föld",,,3-001185,2875972,,,9639182281,    .  .  ,2000,???
Osvát Erzsébet,Osvát Erzsébet összes verse,,,3-001186,2864785,,,9635961669,    .  .  ,2000,???
Bánhegyi Ferenc,Kossuth Lajos azt üzente... : Kossuth Lajos születésének 200. évfordulójára,,,3-001187,2883991,,,,    .  .  ,É.N.,???
"Beck, Peter",Akvárium alapfokon,,,3-001188,2878256,,,9639388327,    .  .  ,2001,???
Mikszáth Kálmán,A gavallérok ; A sipsirica,,,3-001189,2862088,,,9639477389,    .  .  ,É.N.,???
Benedek Elek,A szép Katarina,,,3-001191,2872612,,,9638650923,    .  .  ,É.N.,???
Benedek Elek,Világszép nádszálkisasszony,,,3-001193,2873053,,,9638605278,    .  .  ,2000,???
Lukács László,Morcoknak belépni tilos!,,,3-001194,2860572,,,9639477281,    .  .  ,2003,???
,Ali Baba és a negyven rabló és más mesék,,,3-001195,2872278,,,9635962177,    .  .  ,2004,???
Benedek Elek,Az aranyhal : válogatott mesék,,,3-001196,2872513,,,9635960255,    .  .  ,2002,???
"Massenkeil, Angelika",Karácsonyi díszek természetes anyagokból,,,3-001197,2878218,,,963932714X,    .  .  ,2000,???
Juhász István,Tudod-e ? : Érdekes kérdések és válaszok gyerekeknek : Az emberi test,,,3-001199,2877105,,,9639450634,    .  .  ,2002,???
"Dolder, Ursula",Állatvilág : a puhatestûektõl a madarakig,,,3-001200,2876504,,,9636792747,    .  .  ,2004,???
"Wolfanger von Kleist, N",Arcfestés,,,3-001201,2878263,,,9639445495,    .  .  ,2003,???
Purgel Tünde,"Tudod-e? : A legelsõk, a legnagyobbak, a leggyorsabbak...",,,3-001202,2873732,,,9639355976,    .  .  ,2002,???
Tamási Áron,Ábel a rengetegben,,,3-001204,2867793,,,9.79E+12,    .  .  ,2007,???
"Prawy, Marcel",Johann Strauss,,,3-001205,2879406,,,963926105X,    .  .  ,É.N.,???
"Moravia, Alberto",A közönyösök,,,3-001206,2862446,,,9632282294,    .  .  ,2000,???
"Zweig, Stefan",Nyugtalan szív,,,3-001208,2869810,,,9639282405,    .  .  ,É.N.,???
"Dodd, Martha",Aki szelet vet...,,,3-001209,2853581,,,9639282413,    .  .  ,2001,???
"Wells, Herbert George",Mr. Polly lázadása,,,3-001210,2868622,,,9639282553,    .  .  ,2001,???
"Jackson, Lisa",Kívánságok,,,3-001211,2857602,,,9639282359,    .  .  ,É.N.,???
"Jackson, Lisa",Kincsek,,,3-001212,2858005,,,9639282065,    .  .  ,2001,???
"Stone, Katherine",Hulló csillagok,,,3-001213,2866321,,,9639282081,    .  .  ,1999,???
"Stone, Katherine",Álomsziget,,,3-001214,2866628,,,9639282618,    .  .  ,2002,???
"Putney, Mary Jo",Porcelán menyasszony,,,3-001215,2863443,,,9639282812,    .  .  ,2000,???
"Jackson, Lisa",Emlékek,,,3-001216,2858050,,,9639282820,    .  .  ,2002,???
"Putney, Mary Jo",A selyemfátyol,,,3-001217,2863542,,,9639282847,    .  .  ,1992,???
"Stone, Katherine",Ragyogás,,,3-001218,2866277,,,9639282855,    .  .  ,2002,???
"Steel, Danielle",A sors kereke,,,3-001219,2863597,,,9639459208,    .  .  ,1997,???
"Stone, Katherine",Laura,,,3-001220,2866222,,,9639459178,    .  .  ,1998,???
"Putney, Mary Jo",Tûzfolyó,,,3-001221,2863641,,,9639459216,    .  .  ,É.N.,???
"Stone, Katherine",Illúziók,,,3-001222,2866376,,,9639459488,    .  .  ,2003,???
"Putney, Mary Jo",Selyem és árnyék,,,3-001223,2863498,,,9639459569,    .  .  ,1991,???
"Jackson, Lisa",Tegnap éjjel,,,3-001224,2857954,,,9639459739,    .  .  ,2004,???
"Jackson, Lisa",Ébredés,,,3-001227,2858104,,,963945978X,    .  .  ,2004,???
Varga Tamásné,A Hollókirály és más mesék,,,3-001228,2871165,,,9639282537,    .  .  ,2002,???
Donászy Magda,A kíváncsi bocs,,,3-001229,2871134,,,963928260X,    .  .  ,É.N.,???
Fésûs Éva,Csaló az üveghegyen,,,3-001230,2871196,,,963945933X,    .  .  ,2003,???
Nemes Nagy Ágnes,Sampusz a fekete krampusz,,,3-001231,2871578,,,9639459496,    .  .  ,2003,???
,Az ezeregyéjszaka legszebb meséi,,,3-001232,2872681,,,9639459348,    .  .  ,2003,???
Csaba György Gábor,Hazudnak-e a csillagok? : legenda és valóság a csillagjóslásról,,,3-001233,2876764,,,9639459380,    .  .  ,2003,???
"Zamarovský, Vojtech",A világ hét csodája,,,3-001234,2882420,,,9639459607,    .  .  ,É.N.,???
"James, Brian","Holnap, talán",,,3-001235,2858852,,,963945950X,    .  .  ,2003,???
Füzesi Zsuzsa,Bagoly mondja verébnek...,,,3-001236,2870069,,,9639282006,    .  .  ,2001,???
"Jeszenszky Ágnes, L.",A világirodalom hatvanhat legszebb meséje,,,3-001237,2872933,,,9639076511,    .  .  ,1999,???
Füzesi Zsuzsa,"Az állatok vitája : rövid mesék, mondókák",,,3-001238,2870410,,,9639459550,    .  .  ,2004,???
Pap Éva,A Medvefiú : Finnugor népek meséi,,,3-001239,2871097,,,9639459305,    .  .  ,1984,???
,Picur kalandjai,,,3-001240,2872360,,,9639459828,    .  .  ,É.N.,???
Osvát Erzsébet,"Mese, mese, móka",,,3-001241,2871370,,,9639459836,    .  .  ,É.N.,???
Deák Istvánné,Barkácssuli könyv : Barkácsolás kisgyermekeknek,,,3-001243,2878911,,,9639551325,    .  .  ,É.N.,???
Nagy Márta,Vidám vakáció,,,3-001244,2873039,,,9634640192,    .  .  ,1995,???
Frankovics György,A gyöngyszemet hullató leány : Dráva menti népmesék,,,3-001249,2873299,,,9631179303,    .  .  ,2004,???
Bagyinszki Zoltán,100 magyar vár,,,3-001250,2880501,,,963596160X,    .  .  ,É.N.,???
,"Ákom-bákom hadsereg : versek hétköznapokról, ünnepekrõl",,,3-001251,2886558,,,9639450375,    .  .  ,2002,???
"Disney, Walt",Bambi : Nyomok a hóban,,,3-001252,2873206,,,9639371173,    .  .  ,2001,???
Aesopus,Az egér és az oroszlán : Aesopus meséi,,,3-001254,2871066,,,9635960743,    .  .  ,2003,???
Kis Bitang Éva,Az élõvilág furcsaságai,,,3-001255,2871653,,,,    .  .  ,É.N.,???
Arany László 2,Icinke-picinke és más mesék,,,3-001256,2872056,,,9635962983,    .  .  ,2004,???
Pintér Zoltán,Idegen szavak és kifejezések kéziszótára,,,3-001257,2883229,,,9632371038,    .  .  ,É.N.,???
Nagy Emese,Ismerd meg a háziállatokat!,,,3-001258,2876955,,,9639523917,    .  .  ,2003,???
"Radnich, Mirro",Ismerd meg a vadállatokat! : [izgalmas képregénnyel] : [hasznos és ötletes rajziskolával],,,3-001259,2877006,,,9639523925,    .  .  ,2004,???
,Kellemes karácsony : Kreatív díszítési tippek...,,,3-001260,2877815,,,9639523097,    .  .  ,2003,???
Kiss Bytai Éva,Körforgás a természetben,,,3-001261,2871608,,,,    .  .  ,É.N.,???
