szerzõ,cím,,,leltári_szám,vonalkód,,,ISBN_szám,beszerzés_dátuma,kiadás_éve,szállító
Csoóri Sándor,Cséphadaró a fejünk fölött 1. : történelmi esszék és vitairatok,,,1-144327,7070150,,,9.79E+12,2024.06.26,2022,KELLO
Csoóri Sándor,Óriások között : a rácsodálkozás öröme,,,1-144618,7064951,,,9.79E+12,2024.06.27,2022,KELLO
Csoóri Sándor,Cséphadaró a fejünk fölött 3. : a szétzilált nemzet,,,1-144659,7061486,,,9.79E+12,2024.06.27,2022,KELLO
Csoóri Sándor,Cséphadaró a fejünk fölött 2. : a magyar esszé és a korabeli bátorság csúcsain,,,1-144996,7066351,,,9.79E+12,2024.06.28,2022,KELLO
Csoóri Sándor,Nincs jövõ irodalom nélkül 2. : írói irodalomtörténet,,,1-144997,7068058,,,9.79E+12,2024.06.28,2022,KELLO
Csoóri Sándor,Nincs jövõ irodalom nélkül 1. : a  tisztánlátás keserûsége,,,1-145298,7071720,,,9.79E+12,2024.06.26,2022,KELLO
"Messenger, Shannon",Vihar szeli ketté : Égszakadás I.,,,1-146084,7435881,,,9.79E+12,2024.08.15,2013,KSZR
Tatay Sándor,Vulkán,,,2-000003,2867380,,,,    .  .  ,1968,???
Csathó Kálmán,"A varjú a toronyórán ; Blanche, avagy A szegény rokon ; Mikor az öregek fiatalok voltak",,,2-000029,2854328,,,9631523985,    .  .  ,1983,???
Csokonai Vitéz Mihály,"Dorottya, vagyis A dámák diadamla a fársángon",,,2-000064,2854441,,,,    .  .  ,1954,???
,Felszabadult ország,,,2-000084,2853765,,,,    .  .  ,1950,???
"Géraldy, Paul",Te meg én,,,2-000091,2856605,,,,    .  .  ,É.N.,???
"Gogol, Nikolaj Vasileviè",Holt lelkek,,,2-000097,2856995,,,,    .  .  ,1954,???
Tóth Dezsõ,Babits - Juhász - Kosztolányi levelezése,,,2-000110,2855691,,,,    .  .  ,1959,???
Kertész Erzsébet,A lámpás hölgy : Florence Nightingale életregénye,,,2-000119,2859477,,,9631106187,    .  .  ,1976,???
Karinthy Frigyes,Utazás Faremidóba ; Capillária,,,2-000130,2859385,,,,    .  .  ,1957,???
"Èapek, Karel","Betörõk, bírák, bûvészek és társaik",,,2-000163,2852034,,,,    .  .  ,1969,???
Petõfi Sándor,"Szabadság, szerelem",,,2-000200,2862811,,,,    .  .  ,1946,???
Csáth Géza,A repülõ Vucsidol,,,2-000254,2854311,,,9632711785,    .  .  ,1980,???
Nagy Endre,Szerelmesek kalauza,,,2-000303,2874289,,,,    .  .  ,1957,???
Dégh Linda,A szabadságharc népköltészete,,,2-000322,2875859,,,,    .  .  ,1952,???
