szerzõ,cím,leltári szám,vonalkód,ISBN szám,beszerzési dátum,kiadási év,szállító,dokumentum típus,statisztikai besorolás
"Freude, Matthias",Az állatvilág építõmesterei,2-003304,2877051,9631162753,    .  .  ,É.N.,???,könyv,???
Pénzes Bethen,Állati rekordok,2-003305,2870908,9631144321,    .  .  ,1986,???,könyv,???
Balogh János,Haldokló õserdõk nyomában,2-003306,2881218,9632232682,    .  .  ,1984,???,könyv,???
Kós Károly,Mihez kezdjünk a természetben?,2-003307,2876320,9632319966,    .  .  ,1985,???,könyv,???
Mátyás Csaba,Az erdõk nagy képeskönyve,2-003308,2876641,9631151239,    .  .  ,1986,???,könyv,???
"Felix, Jiøí",Kígyók,2-003309,2876801,963233096X,    .  .  ,1984,???,könyv,???
Pénzes Bethen,Bölcsõ a víz alatt,2-003310,2871806,9631136418,    .  .  ,1984,???,könyv,???
Schmidt Egon,"Kedvencem, az aranyhörcsög",2-003311,2872841,9631132064,    .  .  ,1984,???,könyv,???
Lázár Ervin,Öregapó madarai,2-003312,2871998,9631136582,    .  .  ,1984,???,könyv,???
"Dröscher, Vitus B.",Vándorutak az állatvilágban,2-003313,2872988,963793703X,    .  .  ,1991,???,könyv,???
Koroknay István,Az állatok nagy képeskönyve,2-003314,2876993,9631155218,    .  .  ,1988,???,könyv,???
"Adamson, Joy",A pettyes szfinx nyomában,2-003315,2876559,9632820462,    .  .  ,1988,???,könyv,???
"Parsons, Alexandra",Csudálatos madarak,2-003317,2876757,963797038X,    .  .  ,1991,???,könyv,???
Franyó István,"Zöld erdõben, zöld mezõben... : Olvasnivalók hazánk élõvilágából",2-003318,2876177,9631804577,    .  .  ,1987,???,könyv,???
Kopácsy Margit,Mézesmázos haramiák,2-003319,2873589,9631154513,    .  .  ,1987,???,könyv,???
Arató Endréné,Nézz körül ! : Környezetismereti olvasókönyv az ált. isk. 3-4. o. ...,2-003320,2875279,9631808998,    .  .  ,1988,???,könyv,???
"Andersen, Hans Christian",Hüvelyk Kati,2-003321,2873190,9637840117,    .  .  ,1989,???,könyv,???
Mérei Ferenc,Ablak-zsiráf : képes gyermeklexikon,2-003322,2883052,9631144585,    .  .  ,1985,???,könyv,???
Ágai Ágnes,Akik ki akarták merni a tengert,2-003323,2870625,9631132684,    .  .  ,1984,???,könyv,???
Kosztolányi Dezsõ,Édes Anna,2-003324,2873343,9631139964,    .  .  ,1985,???,könyv,???
Áprily Lajos,Fegyvertelen vadász,2-003325,2871493,9631136612,    .  .  ,1984,???,könyv,???
"Andersen, Hans Christian",A rendíthetetlen ólomkatona,2-003326,2873282,963115260X,    .  .  ,1987,???,könyv,???
Annus József,Békebeli csaták,2-003327,2856018,9631144267,    .  .  ,1986,???,könyv,???
"Aubry, Cécile",Belle és Sebastien,2-003328,2855714,9631139573,    .  .  ,1985,???,könyv,???
Balogh Béni,Omló bástyákon hulló csillagok,2-003329,2851235,9637392874,    .  .  ,1990,???,könyv,???
Bálint Tibor,"Én voltam a császár : Mesék, történetek",2-003330,2872858,9631139204,    .  .  ,1984,???,könyv,???
Bálint Ágnes,Frakk és a macskák,2-003332,2851327,9630282933,    .  .  ,1990,???,könyv,???
Bálint Ágnes,Duruzsoló,2-003333,2870922,963116134X,    .  .  ,1989,???,könyv,???
Balogh Béni,Szivárvány a Sajó felett,2-003334,2851228,9631152774,    .  .  ,1987,???,könyv,???
Berczeli A. Károly,Kamaszok,2-003335,2852799,9631523969,    .  .  ,1983,???,könyv,???
Benedek Elek,Katalin,2-003336,2852836,9631167143,    .  .  ,1994,???,könyv,???
Berkes Péter,Teknõs Béla nem lesz béka,2-003337,2872766,9631144089,    .  .  ,1986,???,könyv,???
Benedek Elek,"Nagyapó mesél Évikének : Versek, mesék, történetek hat-tizenkétéves gyerekeknek",2-003338,2871622,9632051661,    .  .  ,1987,???,könyv,???
Bodó Béla,Brumi Mackóvárosban,2-003340,2873008,9630269503,    .  .  ,1989,???,könyv,???
"Bruckner, Karl",Szadakó élni akar,2-003342,2851945,9631137554,    .  .  ,1984,???,könyv,???
"Brock, Peter",Nelli,2-003343,2851822,9631137201,    .  .  ,1984,???,könyv,???
Sulyok Magda,Boszorkabál,2-003345,2872551,9631151751,    .  .  ,1987,???,könyv,???
