szerzõ,cím,leltári szám,vonalkód,ISBN szám,beszerzési dátum,kiadási év,szállító,dokumentum típus,statisztikai besorolás
Frankovics György,A gyöngyszemet hullató leány : Dráva menti népmesék,3-001249,2873299,9631179303,    .  .  ,2004,???,könyv,???
Bagyinszki Zoltán,100 magyar vár,3-001250,2880501,963596160X,    .  .  ,É.N.,???,könyv,???
,"Ákom-bákom hadsereg : versek hétköznapokról, ünnepekrõl",3-001251,2886558,9639450375,    .  .  ,2002,???,könyv,???
"Disney, Walt",Bambi : Nyomok a hóban,3-001252,2873206,9639371173,    .  .  ,2001,???,könyv,???
Aesopus,Az egér és az oroszlán : Aesopus meséi,3-001254,2871066,9635960743,    .  .  ,2003,???,könyv,???
Kis Bitang Éva,Az élõvilág furcsaságai,3-001255,2871653,,    .  .  ,É.N.,???,könyv,???
Arany László 2,Icinke-picinke és más mesék,3-001256,2872056,9635962983,    .  .  ,2004,???,könyv,???
Pintér Zoltán,Idegen szavak és kifejezések kéziszótára,3-001257,2883229,9632371038,    .  .  ,É.N.,???,könyv,???
Nagy Emese,Ismerd meg a háziállatokat!,3-001258,2876955,9639523917,    .  .  ,2003,???,könyv,???
"Radnich, Mirro",Ismerd meg a vadállatokat! : [izgalmas képregénnyel] : [hasznos és ötletes rajziskolával],3-001259,2877006,9639523925,    .  .  ,2004,???,könyv,???
,Kellemes karácsony : Kreatív díszítési tippek...,3-001260,2877815,9639523097,    .  .  ,2003,???,könyv,???
Kiss Bytai Éva,Körforgás a természetben,3-001261,2871608,,    .  .  ,É.N.,???,könyv,???
Cziffra Istvánné,Nagy magyar helyesírási szótár,3-001262,2882970,9639450200,    .  .  ,2002,???,könyv,???
"Hugo, Victor",A párizsi Notre-Dame,3-001263,2857893,9635960808,    .  .  ,2003,???,könyv,???
Gárdonyi Géza,Ugri meg Bugri és más mesék,3-001266,2870977,963596191X,    .  .  ,2004,???,könyv,???
"Knight, Eric",Lassie hazatér,3-001267,2868974,9636278504,    .  .  ,2004,???,könyv,???
,Történetek Shakespeare nyomán,3-001268,2872995,963627858X,    .  .  ,2003,???,könyv,???
"Vogl, Christl",Kedvenc meséim erdei tündérekrõl és manókról,3-001269,2872070,9636280681,    .  .  ,2004,???,könyv,???
"Lindgren, Astrid",Harisnyás Pippi,3-001271,2860619,9636281300,    .  .  ,2005,???,könyv,???
"Schröder, Patricia",Csajok és csetepaték,3-001272,2865874,9636279543,    .  .  ,2001,???,könyv,???
"Brezina, Thomas",Boszik az iskolapadban,3-001273,2851839,9636282234,    .  .  ,2005,???,könyv,???
"Brezina, Thomas",Legyen anyu a legmenõbb!,3-001274,2851846,9636279381,    .  .  ,2004,???,könyv,???
"Lindgren, Astrid",Kalle és Rasmus,3-001275,2860565,9636279098,    .  .  ,2003,???,könyv,???
"Lindgren, Astrid",Kalle nem ijed meg az árnyékától,3-001276,2860510,9636279128,    .  .  ,2003,???,könyv,???
Fésûs Éva,A zselici rét alatt,3-001280,2872971,9639282278,    .  .  ,2001,???,könyv,???
"Bechstein, Ludwig",Az elvarázsolt királykisasszony,3-001281,2872254,9639282251,    .  .  ,2002,???,könyv,???
"Tolstoj, Aleksej Nikolaeviæ",Aranykulcsocska avagy Burattino kalandjai,3-001282,2870588,9639459968,    .  .  ,2004,???,könyv,???
"Ispirescu, Petre",A hegyek tündére,3-001283,2871646,9639459003,    .  .  ,2002,???,könyv,???
Gyárfás Endre,Márkus mester ezermester,3-001284,2873480,963907683X,    .  .  ,2000,???,könyv,???
,Az ezüstcsengõ : Csíkországi népmesék,3-001285,2870878,9639282944,    .  .  ,2002,???,könyv,???
Arany László,Fehérlófia,3-001287,2872872,9639459097,    .  .  ,É.N.,???,könyv,???
"Nordqvist, Sven",Ki az úr a háznál?,3-001288,2872926,9639282316,    .  .  ,2001,???,könyv,???
Osvát Erzsébet,Dúdoló,3-001289,2871691,9639076147,    .  .  ,É.N.,???,könyv,???
Szabó Lõrinc,Kicsi vagyok én,3-001290,2871172,9639282936,    .  .  ,2002,???,könyv,???
Gazdag Erzsi,Fecskenóta,3-001291,2872704,9639076848,    .  .  ,2000,???,könyv,???
Tordos Ákos,Csigacsalogató,3-001292,2872650,9639076392,    .  .  ,1998,???,könyv,???
Kovács István,Hogyan kutassunk ? : Biológiai kísérletek,3-001566,2876788,,    .  .  ,1967,???,könyv,???
"Neff, Vladimir",A tizenharmadik szoba,3-001919,2864327,,    .  .  ,1973,???,könyv,???
Rázsó Gyula,A lovagkor csatái,3-002897,2874913,9631804410,    .  .  ,1987,???,könyv,???
"Groult, Benoite",A szerelem fészkei,3-003118,2856988,963075293X,    .  .  ,1991,???,könyv,???
Varga Katalin,Mosó Masa mosodája,3-003503,2873381,9631166953,    .  .  ,1991,???,könyv,???
Vadai István,Kötelezõk röviden 3. : kötelezõ olvasmányok a középiskolák IV. osztálya számára,3-003637,2859965,,    .  .  ,1995,???,könyv,???
Arany János,Arany János prózai mûvek 1.,9-000001/01,2855868,,    .  .  ,1963,???,könyv,???
Arany János,Arany János prózai mûvek 2.,9-000001/02,2855950,,    .  .  ,1963,???,könyv,???
Arany János,Buda halála : Hún rege,9-000002,2855943,,    .  .  ,1972,???,könyv,???
Arany János,Buda halála : Hún rege,9-000003,2855936,,    .  .  ,1970,???,könyv,???
"Ajtmatov, Csingiz",Az évszázadnál hosszabb ez a nap,9-000004,2856070,9630726076,    .  .  ,1982,???,könyv,???
Antall József,Modell és valóság,9-000005,2855981,9638514302,    .  .  ,1994,???,könyv,???
Antall József,Modell és valóság,9-000006,2855974,9638514302,    .  .  ,1994,???,könyv,???
Bakcsi György,Dosztojevszkij világa,9-000009,2851280,,    .  .  ,1971,???,könyv,???
Baksa Péter,1956 a magyar költészetben : Ajánlás az 1956-os forradalom 50. évfordulója megünnepléséhez,9-000010,2851273,,    .  .  ,2006,???,könyv,???
Augustinus Aurelius,Vallomás,9-000011,2855721,9632811488,    .  .  ,1982,???,könyv,???
"Barclay, Florence Luisa",Esti dal,9-000012,2852362,9637497021,    .  .  ,1991,???,könyv,???
Barabás Tibor,Chopin,9-000013,2851174,,    .  .  ,1963,???,könyv,???
"Basara, Svetislav",Feljegyzések a biciklistákról,9-000014,2852980,9633798256,    .  .  ,2000,???,könyv,???
"Baroja, Pio",A tudás fája,9-000015,2852997,,    .  .  ,1961,???,könyv,???
Bárczy János,Zuhanóugrás,9-000016,2852386,9632714814,    .  .  ,1981,???,könyv,???
Beczássy Judit,Marika,9-000017,2852898,,    .  .  ,1962,???,könyv,???
"Beauvoir, Simone de","Képek, káprázatok",9-000018,2852959,,    .  .  ,1971,???,könyv,???
Benedek István,Lélektõl lélekig,9-000019,2852805,,    .  .  ,1970,???,könyv,???
Bereményi Géza,Legendárium,9-000020,2852768,9632706757,    .  .  ,1978,???,könyv,???
Bertha Bulcsu,Fehér rozsda,9-000021,2852676,9631521346,    .  .  ,1982,???,könyv,???
"Borovièka, Václav Pavel",Híres politikai merényletek,9-000022,2852133,9630916827,    .  .  ,1981,???,könyv,???
Bokor Imre,Kiskirályok mundérban,9-000023,2852454,9630272792,    .  .  ,1988,???,könyv,???
Bodó Géza,Barlang a szigeten : Kalandos regény,9-000024,2852492,,    .  .  ,1967,???,könyv,???
"Böll, Heinrich",Gondviselõ ostromzár,9-000026,2851785,9632713400,    .  .  ,1980,???,könyv,???
"Burroughs, William J.",A vörös éjszaka városai,9-000027,2851976,9633798213,    .  .  ,2001,???,könyv,???
"Èapek, Karel",Az ellopott gyilkosság és más bûnügyi történetek,9-000028,2852027,,    .  .  ,1966,???,könyv,???
"Camon, Ferdinando",Az örök élet,9-000029,2852065,9632709241,    .  .  ,1979,???,könyv,???
Csontos Gábor,Pléhlovasok : Aki átment a szivárvány alatt,9-000031,2854502,,    .  .  ,1973,???,könyv,???
"Curtiss, Ursula",Hang a sötétbõl,9-000032,2854519,9632715829,    .  .  ,1981,???,könyv,???
"Defoe, Daniel",Moll Flanders örömei és viszontagságai,9-000033,2854748,9630713608,    .  .  ,1977,???,könyv,???
Dénes Zsófia,Zrínyi Ilona,9-000034,2854892,,    .  .  ,1974,???,könyv,???
Déry Tibor,Kedves bópeer...!,9-000035,2854939,,    .  .  ,1973,???,könyv,???
Eke Károly,Titkon innen-titkon túl : az orvostudomány mûhelyébõl,9-000037,2853390,9632407822,    .  .  ,1978,???,könyv,???
"Eberhart, Mignon G.",Suhanó árnyék,9-000038,2853451,9632715527,    .  .  ,1984,???,könyv,???
Endrédy Zoltán Sándor,A csend foglya szól,9-000039,2853338,,    .  .  ,1942,???,könyv,???
"Fallada, Hans",Farkas a farkasok között,9-000040,2853048,9630920646,    .  .  ,1983,???,könyv,???
Fejes Endre,"A fiú, akinek angyalarca volt",9-000041,2853741,9632717511,    .  .  ,1982,???,könyv,???
Fehér Lajos,Így történt,9-000042,2853727,9632713702,    .  .  ,1979,???,könyv,???
Fekete István,Ballagó idõ,9-000043,2864013,9631100642,    .  .  ,1974,???,könyv,???
Fejes Endre,"Jó estét nyár, jó estét szerelem",9-000044,2853802,,    .  .  ,1971,???,könyv,???
Fekete Gyula,A falu szépe; A hû asszony meg a rossz nõ; Az orvos halála,9-000045,2854281,9632711777,    .  .  ,1980,???,könyv,???
Fekete István,Bogáncs,9-000046,2854236,,    .  .  ,1973,???,könyv,???
Fekete István,Bogáncs,9-000047,2854229,,    .  .  ,1973,???,könyv,???
Fekete István,Ballagó idõ,9-000050,2854212,9631100642,    .  .  ,1974,???,könyv,???
Fekete István,Hajnal Badányban,9-000051,2854083,9631101975,    .  .  ,1974,???,könyv,???
Fekete István,Hajnal Badányban,9-000052,2854090,9631101975,    .  .  ,1974,???,könyv,???
Fekete István,Hajnal Badányban,9-000053,2854113,9631101975,    .  .  ,1974,???,könyv,???
Fekete István,Hajnal Badányban,9-000054,2854120,9631101975,    .  .  ,1974,???,könyv,???
Fekete István,Csí és más elbeszélések,9-000055,2854151,,    .  .  ,1974,???,könyv,???
Fekete István,Csí és más elbeszélések,9-000056,2854199,,    .  .  ,1974,???,könyv,???
Fekete István,Csend ; 21 nap,9-000057,2854182,,    .  .  ,1972,???,könyv,???
Fekete István,Csend ; 21 nap,9-000058,2854175,,    .  .  ,1972,???,könyv,???
Fekete István,Kele,9-000059,2853970,,    .  .  ,1971,???,könyv,???
Fekete István,Kele,9-000060,2854045,,    .  .  ,1971,???,könyv,???
Fekete István,Hú,9-000061,2854014,,    .  .  ,1971,???,könyv,???
Fekete István,Hú,9-000062,2854069,,    .  .  ,1971,???,könyv,???
Fekete István,Õszi vásár,9-000064,2853956,,    .  .  ,1970,???,könyv,???
Fekete István,Hú,9-000066,2853987,,    .  .  ,1971,???,könyv,???
Fekete István,Lutra : Egy vidra regénye,9-000067,2853925,,    .  .  ,1973,???,könyv,???
Fekete István,Lutra : Egy vidra regénye,9-000068,2853918,,    .  .  ,1963,???,könyv,???
Fekete István,Tüskevár,9-000069,2853840,,    .  .  ,1974,???,könyv,???
Fekete István,Tüskevár,9-000070,2853857,,    .  .  ,1974,???,könyv,???
Fekete István,Tüskevár,9-000071,2853901,,    .  .  ,1964,???,könyv,???
Fekete István,Téli berek,9-000073,2853864,,    .  .  ,1959,???,könyv,???
Fekete István,Tüskevár,9-000074,2853789,,    .  .  ,1960,???,könyv,???
Fekete István,Téli berek,9-000075,2853833,,    .  .  ,1959,???,könyv,???
Friderikusz Sándor,Isten óvd a királynõt!,9-000076,2856520,9635006268,    .  .  ,1987,???,könyv,???
Gál György Sándor,Mesél a bécsi erdõ : A keringõ és a Strauss-család regénye,9-000078,2856735,9633300037,    .  .  ,1974,???,könyv,???
"Gardner, Erle Stanley",A baglyok nem pislognak,9-000079,2856698,9632719468,    .  .  ,1983,???,könyv,???
Galgóczi Erzsébet,Öt lépcsõ felfelé,9-000080,2856384,,    .  .  ,1965,???,könyv,???
Gáll István,Vaskor,9-000081,2856599,96315133,    .  .  ,1980,???,könyv,???
Gáll István,Karcolgatunk,9-000082,2856643,9632716647,    .  .  ,1982,???,könyv,???
Gerencsér Miklós,Aradi napló,9-000083,2856506,9631517845,    .  .  ,1981,???,könyv,???
"Geller, Uri","Görbüljek meg, ha nem igaz! : Rendhagyó önéletrajz",9-000084,2856490,9637403590,    .  .  ,1990,???,könyv,???
Gárdonyi Géza,A láthatatlan ember,9-000085,2856544,9631107876,    .  .  ,1977,???,könyv,???
"Goldman, Albert",Elvis,9-000086,2857251,9630736764,    .  .  ,1985,???,könyv,???
Germanus Gyula,Kelet varázsa,9-000087,2857152,9632701518,    .  .  ,1975,???,könyv,???
Gerlei József,Krakkói kávéház,9-000088,2856551,9632714172,    .  .  ,1981,???,könyv,???
"Graham, Billy",A boldogság titka,9-000090,2857480,,    .  .  ,É.N.,???,könyv,???
Gulácsy Irén,Jezabel,9-000091,2857169,9631534006,    .  .  ,1987,???,könyv,???
"Greene, Graham",Monsignor Quijote,9-000092,2857183,9630745348,    .  .  ,1987,???,könyv,???
"Greene, Graham",A kezdet és a vég,9-000093,2857282,,    .  .  ,1962,???,könyv,???
"Greene, Graham",Hatalom és dicsõség,9-000094,2857336,963360432X,    .  .  ,1984,???,könyv,???
Gyurkovics Tibor,Isten nem szerencsejátékos,9-000095,2857367,,    .  .  ,1973,???,könyv,???
Gyurkó László,Arcképvázlat történelmi háttérrel,9-000096,2857466,9632718011,    .  .  ,1982,???,könyv,???
Gyõry Dezsõ,Két végzetes korona,9-000097,2856919,,    .  .  ,1973,???,könyv,???
Moldován Tamás,Gyilkosság az intézetben,9-000098,2856964,,    .  .  ,1981,???,könyv,???
"Hailey, Arthur",Repülõtér,9-000100,2857213,9632713451,    .  .  ,1979,???,könyv,???
Hegedûs Géza,Elõjátékok egy önéletrajzhoz,9-000101,2857121,9631520153,    .  .  ,1982,???,könyv,???
Hare Cyril,Az eltûnt klarinétos,9-000102,2857329,9632711270,    .  .  ,1979,???,könyv,???
"Hoesl, Paula",Nõnek születtünk,9-000103,2857824,9633631025,    .  .  ,1991,???,könyv,???
Hendi Ilma,"Út, fényes út : rigmusmozaikok",9-000104,2857817,9636500649,    .  .  ,1995,???,könyv,???
Hevesi Lajos,Jelky András kalandjai,9-000105,2857770,,    .  .  ,1973,???,könyv,???
,Húsz dráma 1945-1975,9-000107/01,2858142,9632710991,    .  .  ,1980,???,könyv,???
,Húsz dráma 1945-1975,9-000107/02,2858197,9632710991,    .  .  ,1980,???,könyv,???
"Jacta, Maximilian",Híres angol-amerikai bûnperek,9-000108,2858159,,    .  .  ,1972,???,könyv,???
"Jens, Walter",Az utolsó vádlott,9-000109,2858647,9632712811,    .  .  ,1980,???,könyv,???
"Japrisot, Sébastien",Gyilkosok kupéja,9-000110,2858258,9632703251,    .  .  ,1976,???,könyv,???
"Jantunen, Tuulikki",Dióbél-ország : Egy hét a ckung-busmanok között,9-000111,2858302,,    .  .  ,1971,???,könyv,???
Jókai Anna,Jákob lajtorjája,9-000112,2858494,963152096X,    .  .  ,1982,???,könyv,???
Karinthy Ferenc,Hosszú weekend,9-000114,2858944,9631518418,    .  .  ,1981,???,könyv,???
Kardos G. György,Avraham Bogatir hét napja,9-000115,2859354,,    .  .  ,1973,???,könyv,???
Karczag György,A trónon harmadik,9-000116,2859255,9631100758,    .  .  ,1974,???,könyv,???
Karinthy Frigyes,Utazás a koponyám körül,9-000117,2859330,,    .  .  ,É.N.,???,könyv,???
Kellér Dezsõ,Leltár,9-000118,2859071,9631506819,    .  .  ,1976,???,könyv,???
"Klement, Robert",Hárman a dróton ; Az energia 101 kulcsszava,9-000120,2859958,9637091033,    .  .  ,1986,???,könyv,???
Kolozsvári Grandpierre Emil,A szerencse mostohafia,9-000121,2859897,9632703804,    .  .  ,1976,???,könyv,???
Komlós János,Tiszta vizet a fejekbe,9-000122,2859996,9631517144,    .  .  ,1981,???,könyv,???
Kosztolányi Dezsõ,Életre-halálra,9-000123,2860084,963151157X,    .  .  ,1978,???,könyv,???
Kristóf Attila,Valakit mellém temettek,9-000124,2859972,963271380X,    .  .  ,1981,???,könyv,???
"Lallier, Bernard-Paul",Vérbosszú,9-000125,2860800,,    .  .  ,1971,???,könyv,???
Lakatos Menyhért,Akik élni akartak,9-000126,2860657,9632717104,    .  .  ,1982,???,könyv,???
"Lagzdinš, Viktors",Halál a Szarvas-tanyán,9-000127,2860602,963072412X,    .  .  ,1982,???,könyv,???
Kunszabó Ferenc,És ég az oltár : Széchenyi István életmûve,9-000128,2860350,9631524647,    .  .  ,1983,???,könyv,???
"Lawrence, Thomas Edward",Lázadás a sivatagban,9-000129,2860244,9630278375,    .  .  ,1990,???,könyv,???
Láng György,A Tamás-templom karnagya : Johann Sebastian Bach életének regénye,9-000131,2860497,9631121410,    .  .  ,1980,???,könyv,???
"Lord, Walter",Hihetetlen gyõzelem,9-000133,2860725,9633263026,    .  .  ,1981,???,könyv,???
"Longo, Luigi",A nemzeti felkelés útján,9-000134,2859705,9632709454,    .  .  ,1979,???,könyv,???
"Lorre, Charles",Öngyilkos század,9-000135,2860770,9633229618,    .  .  ,1990,???,könyv,???
"London, Jack",A maják kincse,9-000137,2860220,,    .  .  ,1990,???,könyv,???
Mácz István,Örülj velem!,9-000138,2860312,9637487638,    .  .  ,1992,???,könyv,???
Mág Bertalan,Banditák Budán,9-000139,2861258,9633267692,    .  .  ,1980,???,könyv,???
Osztovits Levente,Május 1 New Yorkban : Öt halhatatlan amerikai kisregény,9-000140,2852171,9630708957,    .  .  ,1977,???,könyv,???
"Mallet-Joris, Françoise",A Mennyei Birodalom,9-000141,2861128,,    .  .  ,1974,???,könyv,???
Makkai Sándor,Magyarok csillaga,9-000142,2860923,9631520986,    .  .  ,1982,???,könyv,???
"Malgo, Wim",Az istenember,9-000143,2861326,9630405903,    .  .  ,1991,???,könyv,???
Marosán György,Az úton végig kell menni,9-000144,2861234,9632712374,    .  .  ,1980,???,könyv,???
Marosán György,Tüzes kemence,9-000145,2861180,9632712382,    .  .  ,1980,???,könyv,???
Mátyás István,Nyakunkon az élet,9-000146,2860862,9632112458,    .  .  ,1978,???,könyv,???
"McBain, Ed",Karácsonyi ajándékok,9-000147,2861210,9632715551,    .  .  ,1972,???,könyv,???
Mészöly Miklós,Saulus,9-000149,2861616,9632700724,    .  .  ,1975,???,könyv,???
"Merle, Robert",Két nap az élet,9-000150,2861869,9630723565,    .  .  ,1982,???,könyv,???
"Mazzaro, Ed",Chicagói történet,9-000151,2861265,9630740001,    .  .  ,1985,???,könyv,???
Megyery Sári,Én is voltam jávorfácska...,9-000152,2862064,9632708598,    .  .  ,1979,???,könyv,???
Mikszáth Kálmán,A beszélõ köntös : A gavallérok,9-000153,2861579,,    .  .  ,1970,???,könyv,???
Mikszáth Kálmán,A beszélõ köntös,9-000154,2861470,,    .  .  ,1967,???,könyv,???
Moldova György,Magyar atom,9-000156,2862361,9632707192,    .  .  ,1978,???,könyv,???
Mocsár Gábor,A város és a fejedelem,9-000157,2862378,9632711726,    .  .  ,1980,???,könyv,???
Molnár Ferenc,A Pál utcai fiúk,9-000158,2862729,,    .  .  ,1964,???,könyv,???
Moldova György,Az életem rövid ; Kerüld a nõket!,9-000159,2862415,9632721136,    .  .  ,1987,???,könyv,???
Moldova György,Akit a mozdony füstje megcsapott...,9-000160,2862668,963140210X,    .  .  ,1977,???,könyv,???
Molnár Gábor,Éjbe zuhant évek,9-000162,2862354,9631514692,    .  .  ,1979,???,könyv,???
Molnár Ferenc,A Pál utcai fiúk,9-000163,2862576,,    .  .  ,1964,???,könyv,???
Molnár Ferenc,A Pál utcai fiúk,9-000164,2862439,,    .  .  ,1964,???,könyv,???
Móra Ferenc,Kincskeresõ kisködmön,9-000166,2862231,9631107396,    .  .  ,1976,???,könyv,???
Móra Ferenc,Kincskeresõ kisködmön,9-000168,2862583,963920210X,    .  .  ,É.N.,???,könyv,???
Móra Ferenc,Kincskeresõ kisködmön,9-000169,2862385,963920210X,    .  .  ,É.N.,???,könyv,???
Móra Ferenc,Kincskeresõ kisködmön,9-000170,2862736,963920210X,    .  .  ,É.N.,???,könyv,???
Móricz Zsigmond,A boldog ember,9-000171,2864648,,    .  .  ,1968,???,könyv,???
Móricz Zsigmond,Légy jó mindhalálig,9-000172,2864303,963764301X,    .  .  ,1991,???,könyv,???
Móricz Zsigmond,Légy jó mindhalálig,9-000173,2864341,963764301X,    .  .  ,1991,???,könyv,???
Móricz Zsigmond,Légy jó mindhalálig,9-000174,2864501,963076556X,    .  .  ,1999,???,könyv,???
Móricz Zsigmond,Légy jó mindhalálig,9-000175,2864440,963076556X,    .  .  ,1999,???,könyv,???
Móricz Zsigmond,Légy jó mindhalálig,9-000176,2864495,963076556X,    .  .  ,1999,???,könyv,???
Nagy Alexandra,Viccözön,9-000177,2864181,9637487271,    .  .  ,1991,???,könyv,???
Nagy Bandó András,Úton-útfélen,9-000178,2864235,9635005709,    .  .  ,1987,???,könyv,???
Nagy András,Savonarola-kísérlet,9-000179,2864280,9632717414,    .  .  ,1982,???,könyv,???
"Noszik, Borisz",Albert Schweitzer,9-000180,2863108,9630914603,    .  .  ,1979,???,könyv,???
"Nossack, Hans Erich",A d' Arthez-ügy,9-000181,2863054,,    .  .  ,1971,???,könyv,???
Ordas Iván,"Simonyi óbester : Regényes beszámoló ""a legvitézebb huszár"" életérõl",9-000182,2862897,9631133117,    .  .  ,1983,???,könyv,???
Passuth László,Aranyködben fáznak az istenek,9-000183,2864730,,    .  .  ,1965,???,könyv,???
Örkény István,Lágerek népe,9-000184,2863344,9631517683,    .  .  ,1981,???,könyv,???
Palotai Boris,Kegyetlen ifjúság ; Keserû mandula,9-000186,2863030,9631522156,    .  .  ,1982,???,könyv,???
"Pasternák, Boris Leonidoviè",Zsivago doktor,9-000187,2862927,9633071070,    .  .  ,1988,???,könyv,???
Pataky-Rácz Zoltán,"""Rögtön jövünk, csak meghalunk...""",9-000188,2862873,963152051X,    .  .  ,1982,???,könyv,???
"Plievier, Theodor",Sztálingrád,9-000189,2864006,9633268117,    .  .  ,1982,???,könyv,???
Dezsényi Katalin,Portyázás Harlemben,9-000190,2863757,963070546X,    .  .  ,1976,???,könyv,???
"Puzo, Mario",A Keresztapa,9-000191,2863696,9631415171,    .  .  ,1989,???,könyv,???
"Rajnov, Bogumil",Meghalni csak a végsõ esetben,9-000193,2863580,963271881X,    .  .  ,1983,???,könyv,???
"Remarque, Erich Maria",Nyugaton a helyzet változatlan,9-000194,2863986,9633070406,    .  .  ,1985,???,könyv,???
Rejtõ Jenõ,Az elsikkasztott pénztáros,9-000195,2863528,,    .  .  ,1970,???,könyv,???
Rónaszegi Miklós,A nagy játszma : Benyovszki Móric viszontagságai,9-000196,2865706,,    .  .  ,1973,???,könyv,???
Rónay György,Fordítás közben,9-000197,2863764,,    .  .  ,É.N.,???,könyv,???
"Roth, Joseph",Radetzky-induló ; a kapucinus kripta,9-000198,2865409,963072619X,    .  .  ,1982,???,könyv,???
Rónay György,A nagy nemzedék,9-000199,2865652,,2001.09.04,1971,???,könyv,???
Rónaszegi Miklós,A gézengúzok a Balatonnál,9-000200,2865959,9631142760,    .  .  ,1986,???,könyv,???
Sánta Ferenc,Húsz óra,9-000201,2865638,,    .  .  ,1972,???,könyv,???
"Saint-Exupéry, Antoine de",A kis herceg,9-000202,2865546,9631166988,    .  .  ,1991,???,könyv,???
"Schiller, Friedrich",Schiller válogatott versei,9-000203,2865928,,    .  .  ,1956,???,könyv,???
"Shakespeare, William",Öt dráma,9-000204,2865713,963070661X,    .  .  ,1976,???,könyv,???
"Sewell, Anna",Fekete Szépség,9-000205,2865867,9631152812,    .  .  ,1987,???,könyv,???
"Sesztakov, Pavel",Át a labirintuson,9-000206,2865911,,    .  .  ,1974,???,könyv,???
"Simenon, George",Maigret revolvere,9-000207,2866154,9632715616,    .  .  ,1981,???,könyv,???
"Frirda, Stadler",Újrafoglalt régi gyöngyök,9-000209,2866642,,    .  .  ,1943,???,könyv,???
Soós László,Fehér pázsit : Dokumentumregény a második világháborúból,9-000210,2866390,9631400530,    .  .  ,1983,???,könyv,???
"Strittmatter, Erwin",A csodatévõ újabb kalandjai,9-000211,2866420,9630714175,    .  .  ,1978,???,könyv,???
Sütõ András,Nagyenyedi tûnõdések,9-000212,2866369,9631510123,    .  .  ,1978,???,könyv,???
Sütõ András,Gyermekkorom tükörcserepei,9-000213,2866413,963112598X,    .  .  ,1982,???,könyv,???
Sütõ András,Anyám könnyû álmot ígér,9-000214,2866468,9631519449,    .  .  ,1981,???,könyv,???
Szabó Magda,Pilátus,9-000215,2866956,,    .  .  ,1973,???,könyv,???
Száraz György,A tábornok ; Részletek egy készülõ kor- és életrajzból,9-000216,2867281,9631404307,    .  .  ,1984,???,könyv,???
Szántó György,Esze Tamás talpasai,9-000217,2866741,,    .  .  ,1973,???,könyv,???
Szamos Rudolf,Kántor nyomoz,9-000218,2866796,,    .  .  ,1973,???,könyv,???
,A fekete kastély rejtélye,9-000219,2866840,9633162699,    .  .  ,1989,???,könyv,???
Jólesz László,"Száll az ének : Mítoszok, mondák legendák a világirodalomból",9-000220,2866895,,    .  .  ,1960,???,könyv,???
Szent-Gály Kata,Fény és vallomás,9-000221,2866888,9638273062,    .  .  ,1994,???,könyv,???
"Szimonov, Konsztantyin Mihajlovics",Többé nem látjuk egymást,9-000222,2866727,963072443X,    .  .  ,1981,???,könyv,???
Szilvási Lajos,Karácsony,9-000223,2866871,9631516601,    .  .  ,1980,???,könyv,???
Szilvási Lajos,Jegenyék : A jackman,9-000224,2866925,9631537889,    .  .  ,1988,???,könyv,???
Szuhai István,"Szinba, a király",9-000225,2866963,,    .  .  ,1971,???,könyv,???
"Szbyepanov, Mihail",Agymosás kínai módra,9-000226,2867014,9632114426,    .  .  ,1982,???,könyv,???
Tabéry Géza,Vértorony,9-000228,2867953,,    .  .  ,1971,???,könyv,???
Tamási Áron,Tamási Áron összes novellái,9-000229,2867946,963152115X,    .  .  ,1982,???,könyv,???
"Szolzsenyicin, Alekszandr",Ivan Gyenyiszovics egy napja,9-000230,2864747,,    .  .  ,1963,???,könyv,???
Tamási Áron,Ábel Amerikában,9-000231,2867502,,    .  .  ,1971,???,könyv,???
"Waltari, Mika",Palmu felügyelõ tévedése,9-000232,2868981,,    .  .  ,1969,???,könyv,???
"Wallace, Lewis",Ben Hur : regény Krisztus urunk korából,9-000233,2868882,,    .  .  ,1972,???,könyv,???
"Winter, Antonín",A tizenhármas tipp,9-000234,2868776,9632715268,    .  .  ,1981,???,könyv,???
Vörösmarty Mihály,Vörösmarty Mihály válogatott mûvei : Kisebb költemények II. 1827-2839,9-000236,2868639,,    .  .  ,1960,???,könyv,???
"Vidal, Gore",Burr ezredes utolsó kalandja,9-000237,2864754,9630711028,    .  .  ,1978,???,könyv,???
Vészi Endre,A hosszú elõszoba,9-000238,2868301,,    .  .  ,1973,???,könyv,???
"Grey, Zane",Majesti tanyája,9-000239,2869247,9630283344,    .  .  ,1990,???,könyv,???
Zelk Zoltán,Mindennapi halálom,9-000240,2868806,9631512347,    .  .  ,1979,???,könyv,???
Németh László,Két millennium között : iváni képek a XX. századból,9-000241,2869438,963003719X,    .  .  ,2000,???,könyv,???
Németh László,Két millennium között : iváni képek a XX. századból,9-000242,2869384,963003719X,    .  .  ,2000,???,könyv,???
Bedécs Gyula,Vendégváró : Látnivalók Gyõr-Moson-Sopron megyében,9-000243,2869674,9638602554,    .  .  ,2000,???,könyv,???
Szalay Béla,"Otthonunk, Dör",9-000244,2869377,9637586318,    .  .  ,1994,???,könyv,???
Németh László,Adalékok Iván község helytörténetéhez,9-000245,2869421,9630362007,    .  .  ,1998,???,könyv,???
Mezõdy Õ. István,Gyõr,9-000246,2869476,9633160227,    .  .  ,1985,???,könyv,???
